LearningPlatformSelect,LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube
,,,,,,,,,,,,,,,,,,
"Conferences,Online courses,Podcasts,Stack Overflow Q&A,YouTube Videos",,,,,Very useful,,,,,,Very useful,,Somewhat useful,Very useful,,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Company internal community,Conferences,Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",,,,Somewhat useful,Somewhat useful,,Somewhat useful,,,,Very useful,,,Very useful,,,,Very useful
"Arxiv,Blogs,College/University,Online courses,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",Very useful,Very useful,Somewhat useful,,,,,,,,Very useful,Somewhat useful,,Very useful,,,Very useful,Very useful
"Company internal community,Kaggle,Online courses",,,,Very useful,,,Very useful,,,,Very useful,,,,,,,
"Blogs,Conferences,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Trade book",,Somewhat useful,,,Somewhat useful,,Very useful,,,Somewhat useful,Very useful,Very useful,,Very useful,,Very useful,,
"Kaggle,Newsletters,Non-Kaggle online communities,Stack Overflow Q&A",,,,,,,Very useful,Somewhat useful,Somewhat useful,,,,,Very useful,,,,
YouTube Videos,,,,,,,,,,,,,,,,,,Very useful
College/University,,,Very useful,,,,,,,,,,,,,,,
YouTube Videos,,,,,,,,,,,,,,,,,,Somewhat useful
"Official documentation,Online courses,YouTube Videos",,,,,,,,,,Very useful,Very useful,,,,,,,Somewhat useful
"Arxiv,Blogs,Friends network,Kaggle,Official documentation,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Somewhat useful,,,,Somewhat useful,Somewhat useful,,,Somewhat useful,,Very useful,Somewhat useful,Very useful,Somewhat useful,,,Very useful
"College/University,Online courses,Stack Overflow Q&A,YouTube Videos",,,Somewhat useful,,,,,,,,Very useful,,,Very useful,,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Conferences,Official documentation,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,Somewhat useful,,Somewhat useful,,,,,Very useful,Very useful,,,Somewhat useful,Very useful,,,Somewhat useful
"Blogs,College/University,Online courses",,Very useful,Very useful,,,,,,,,Very useful,,,,,,,
"Kaggle,Personal Projects,Stack Overflow Q&A",,,,,,,Somewhat useful,,,,,Very useful,,Somewhat useful,,,,
"Blogs,Conferences,Online courses,Textbook",,Somewhat useful,,,Somewhat useful,,,,,,Somewhat useful,,,,Somewhat useful,,,
"Blogs,Kaggle,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,Very useful,,,,,Very useful,,,,,,,Very useful,Very useful,,Very useful,Very useful
"Personal Projects,Textbook,YouTube Videos",,,,,,,,,,,,Very useful,,,Very useful,,,Very useful
"Blogs,Conferences,Kaggle,Newsletters,Non-Kaggle online communities,Online courses,Personal Projects,Podcasts,Textbook,YouTube Videos",,Very useful,,,Very useful,,Very useful,Very useful,Very useful,,Very useful,Very useful,Very useful,,Very useful,,,Very useful
"Conferences,Online courses,Textbook,YouTube Videos",,,,,Very useful,,,,,,Very useful,,,,Somewhat useful,,,Very useful
"College/University,Friends network,Kaggle,Personal Projects",,,Somewhat useful,,,Very useful,Somewhat useful,,,,,Very useful,,,,,,
"Blogs,Official documentation,Online courses,Textbook,YouTube Videos",,Somewhat useful,,,,,,,,Somewhat useful,Somewhat useful,,,,Somewhat useful,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Blogs,College/University,Kaggle,Online courses,Stack Overflow Q&A,Textbook",,Somewhat useful,Very useful,,,,Very useful,,,,Somewhat useful,,,Somewhat useful,Very useful,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Personal Projects,Textbook",,Very useful,,,,,,,,,,Very useful,,,Somewhat useful,,,
Online courses,,,,,,,,,,,Somewhat useful,,,,,,,
College/University,,,Somewhat useful,,,,,,,,,,,,,,,
"Online courses,Personal Projects,Stack Overflow Q&A",,,,,,,,,,,Very useful,Very useful,,Very useful,,,,
"Blogs,Conferences,Kaggle,Newsletters,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,,,Somewhat useful,,Somewhat useful,Somewhat useful,,,,,,Very useful,Very useful,,,Very useful
YouTube Videos,,,,,,,,,,,,,,,,,,Somewhat useful
"Blogs,College/University,Company internal community,Conferences,Kaggle,Official documentation,Online courses,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,Somewhat useful,Somewhat useful,Very useful,Very useful,,Somewhat useful,,,Somewhat useful,Very useful,,,Somewhat useful,Somewhat useful,,Somewhat useful,Somewhat useful
"Company internal community,Conferences,Online courses,Podcasts",,,,Somewhat useful,Somewhat useful,,,,,,Very useful,,Not Useful,,,,,
"Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,,,,,Very useful,,,Somewhat useful,Somewhat useful,,,Very useful
"Blogs,Kaggle,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,,,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,,,Very useful
"Blogs,College/University,Conferences,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,Very useful,,Somewhat useful,,Somewhat useful,,,,Very useful,Very useful,,Somewhat useful,Somewhat useful,,,Somewhat useful
"Arxiv,College/University,Friends network,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos,Other",Very useful,,Very useful,,,Very useful,Very useful,,Very useful,Very useful,Somewhat useful,Very useful,,Very useful,Very useful,,,Somewhat useful
"College/University,Kaggle,Online courses,YouTube Videos",,,Very useful,,,,Very useful,,,,Very useful,,,,,,,Very useful
"Kaggle,Official documentation,Online courses,Personal Projects,Trade book",,,,,,,Very useful,,,Somewhat useful,Very useful,Very useful,,,,Somewhat useful,,
"Blogs,Company internal community,Conferences,Kaggle,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos",,Very useful,,Very useful,Somewhat useful,,Somewhat useful,,,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,,,,Somewhat useful
"Blogs,College/University,Kaggle,Newsletters,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,,,,,,,,,,,,
"Blogs,College/University,Kaggle,Online courses,Personal Projects,Textbook,YouTube Videos",,Somewhat useful,Somewhat useful,,,,Somewhat useful,,,,Very useful,Somewhat useful,,,Very useful,,,Somewhat useful
"Blogs,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects",,Very useful,,,,,Very useful,,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,,,,,,
"Blogs,College/University,Company internal community,Conferences,Friends network,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring",,Somewhat useful,Somewhat useful,Very useful,Not Useful,Somewhat useful,Somewhat useful,,,Not Useful,Not Useful,Very useful,,Somewhat useful,,,Not Useful,
"Arxiv,Blogs,College/University,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Textbook,YouTube Videos",Somewhat useful,Very useful,Somewhat useful,,,,Very useful,,Very useful,,Very useful,Very useful,,,Very useful,,,Very useful
"Blogs,Company internal community,Conferences,Friends network,Kaggle,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Trade book",,Very useful,,Very useful,Very useful,Very useful,Somewhat useful,,,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,,Very useful,,
"College/University,Kaggle,Stack Overflow Q&A,YouTube Videos",,,Somewhat useful,,,,Somewhat useful,,,,,,,Very useful,,,,Somewhat useful
"Blogs,College/University,Conferences,Kaggle,Newsletters,Personal Projects,Stack Overflow Q&A,Trade book,YouTube Videos",,Somewhat useful,Very useful,,Somewhat useful,,Somewhat useful,Not Useful,,,,Somewhat useful,,Somewhat useful,,Somewhat useful,,Very useful
"Newsletters,Personal Projects,Podcasts,YouTube Videos,Other",,,,,,,,Somewhat useful,,,,Very useful,Somewhat useful,,,,,Somewhat useful
"Blogs,Conferences,Friends network,Online courses,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring",,Somewhat useful,,,Somewhat useful,Somewhat useful,,,,,Somewhat useful,Somewhat useful,,Very useful,,,Very useful,
"Arxiv,Blogs,College/University,Company internal community,Conferences,Kaggle,Official documentation,Stack Overflow Q&A,Textbook",Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,,Somewhat useful,,,Very useful,,,,Very useful,Somewhat useful,,,
"Blogs,College/University,Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,Very useful,,,,Very useful,,,,Very useful,,,Very useful,,,,Somewhat useful
"Arxiv,Blogs,College/University,Company internal community,Conferences,Kaggle,Non-Kaggle online communities,Online courses,YouTube Videos",Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,,Very useful,,Very useful,,Very useful,,,,,,,Somewhat useful
"Arxiv,Blogs,College/University,Conferences,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",Very useful,Very useful,Very useful,,Very useful,,,,,,,Very useful,Very useful,Very useful,Very useful,,Very useful,Very useful
"College/University,Kaggle",,,Very useful,,,,Very useful,,,,,,,,,,,
"Blogs,Online courses",,Somewhat useful,,,,,,,,,Very useful,,,,,,,
"Kaggle,Online courses,Stack Overflow Q&A",,,,,,,Very useful,,,,Very useful,,,Very useful,,,,
"College/University,Kaggle",,,Very useful,,,,Very useful,,,,,,,,,,,
Personal Projects,,,,,,,,,,,,Very useful,,,,,,
"Blogs,College/University,Kaggle,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook",,Very useful,Somewhat useful,,,,Somewhat useful,,,Very useful,Somewhat useful,Very useful,Not Useful,Very useful,Very useful,,,
"Arxiv,Blogs,Kaggle,Newsletters,Stack Overflow Q&A",Very useful,Somewhat useful,,,,,Very useful,Somewhat useful,,,,,,Somewhat useful,,,,
"College/University,Online courses,Other,Other",,,Not Useful,,,,,,,,Very useful,,,,,,,
"Stack Overflow Q&A,YouTube Videos",,,,,,,,,,,,,,Very useful,,,,Somewhat useful
"Arxiv,College/University,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",Somewhat useful,,Very useful,,,,Somewhat useful,,,,Very useful,Very useful,,Very useful,,,Somewhat useful,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Blogs,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,Very useful,,,,,,,,,Very useful,Very useful,,Very useful,Very useful,,,
"Kaggle,Stack Overflow Q&A,Textbook",,,,,,,Somewhat useful,,,,,,,Somewhat useful,Somewhat useful,,,
"College/University,Kaggle,Online courses",,,Very useful,,,,Somewhat useful,,,,Very useful,,,,,,,
"Kaggle,Textbook",,,,,,,Very useful,,,,,,,,Somewhat useful,,,
"Blogs,Conferences,Official documentation,Online courses,Stack Overflow Q&A,Trade book",,Somewhat useful,,,Somewhat useful,,,,,Somewhat useful,Somewhat useful,,,Somewhat useful,,Somewhat useful,,
"Blogs,Conferences,Textbook",,Somewhat useful,,,Somewhat useful,,,,,,,,,,Very useful,,,
Kaggle,,,,,,,Very useful,,,,,,,,,,,
"College/University,Friends network,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,,Very useful,,,Somewhat useful,,,,,,Somewhat useful,,Somewhat useful,Very useful,,Very useful,Somewhat useful
"Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,,,,,,Somewhat useful,,Somewhat useful,Very useful,,,Somewhat useful
"Blogs,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Stack Overflow Q&A,Textbook",,Very useful,,,,,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,,,,Very useful,Very useful,,,
"Arxiv,Blogs,College/University,Conferences,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,Very useful,Somewhat useful,,Somewhat useful,,,,,,Somewhat useful,Very useful,,Somewhat useful,Somewhat useful,,,Somewhat useful
"Blogs,Company internal community,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos,Other",,Somewhat useful,,Somewhat useful,,,,,,,,Somewhat useful,,Somewhat useful,Somewhat useful,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Arxiv,College/University,Stack Overflow Q&A",Very useful,,Very useful,,,,,,,,,,,Very useful,,,,
"Blogs,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Very useful,,,,,Somewhat useful,,Very useful,,Very useful,Somewhat useful,,Very useful,,,,Very useful
"Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,,,,,,,,,,Very useful,Very useful,,Somewhat useful,Somewhat useful,,,
"Kaggle,Online courses,Personal Projects,Stack Overflow Q&A",,,,,,,Very useful,,,,Somewhat useful,Very useful,,Somewhat useful,,,,
"Blogs,Stack Overflow Q&A,YouTube Videos",,Very useful,,,,,,,,,,,,Somewhat useful,,,,Somewhat useful
Online courses,,,,,,,,,,,Somewhat useful,,,,,,,
"Friends network,Online courses,Personal Projects",,,,,,Somewhat useful,,,,,Very useful,Somewhat useful,,,,,,
"Arxiv,Blogs,College/University,Company internal community,Conferences,Newsletters,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,Trade book,YouTube Videos",Not Useful,Somewhat useful,Somewhat useful,Very useful,Not Useful,,,Somewhat useful,,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,,Somewhat useful
"Blogs,Online courses,Textbook",,Somewhat useful,,,,,,,,,Somewhat useful,,,,Somewhat useful,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Conferences,Kaggle,Official documentation,Online courses,Personal Projects,Textbook",,,,,Somewhat useful,,Somewhat useful,,,Very useful,Somewhat useful,Very useful,,,Very useful,,,
"College/University,Kaggle,Online courses,Tutoring/mentoring,YouTube Videos",,,Somewhat useful,,,,Very useful,,,,Very useful,,,,,,Somewhat useful,Very useful
"Blogs,College/University,Kaggle,Official documentation,Online courses,Textbook,Tutoring/mentoring,YouTube Videos",,Somewhat useful,Very useful,,,,Very useful,,,Somewhat useful,Very useful,,,,Somewhat useful,,Very useful,Very useful
"Arxiv,Blogs,College/University,Company internal community,Conferences,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,,Very useful,,,Very useful,Somewhat useful,Very useful,,Somewhat useful,Very useful,,,Very useful
"Blogs,Kaggle,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,,,,,,,,Very useful
Online courses,,,,,,,,,,,Very useful,,,,,,,
"Kaggle,Stack Overflow Q&A",,,,,,,Very useful,,,,,,,Very useful,,,,
YouTube Videos,,,,,,,,,,,,,,,,,,Very useful
"College/University,Company internal community,Kaggle,Online courses,YouTube Videos",,,Somewhat useful,Somewhat useful,,,Somewhat useful,,,,Very useful,,,,,,,Somewhat useful
"Arxiv,Blogs,Conferences,Kaggle,Textbook",Very useful,Very useful,,,Very useful,,Very useful,,,,,,,,Very useful,,,
"College/University,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,Very useful,,,,Very useful,Very useful,,Somewhat useful,,,,Somewhat useful
Personal Projects,,,,,,,,,,,,Somewhat useful,,,,,,
"Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,,,,,,Very useful,,,Very useful,,,,Somewhat useful
"Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,,,,,,,,,Very useful,Very useful,Very useful,,Very useful,Somewhat useful,,,
"Arxiv,Blogs,College/University,Friends network,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Somewhat useful,Very useful,,,Somewhat useful,Very useful,,,Very useful,Very useful,Very useful,,Very useful,Very useful,,,Somewhat useful
"Tutoring/mentoring,Other",,,,,,,,,,,,,,,,,Very useful,
"College/University,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,,Somewhat useful,,,,Somewhat useful,,,,Somewhat useful,Somewhat useful,,Somewhat useful,,,Somewhat useful,Somewhat useful
"College/University,Friends network,Kaggle,Non-Kaggle online communities,Online courses,YouTube Videos",,,Somewhat useful,,,Somewhat useful,Somewhat useful,,Somewhat useful,,Very useful,,,,,,,Somewhat useful
"Blogs,College/University,Friends network,Kaggle,Newsletters,Official documentation,Online courses,Personal Projects,Podcasts,YouTube Videos",,Somewhat useful,Not Useful,,,Somewhat useful,Very useful,Somewhat useful,,,Very useful,Somewhat useful,Somewhat useful,,,,,Very useful
"Blogs,College/University,Company internal community,Friends network,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,Very useful,Somewhat useful,,Somewhat useful,Somewhat useful,,,,Very useful,Very useful,,Very useful,Very useful,,,Very useful
"Personal Projects,Stack Overflow Q&A,YouTube Videos",,,,,,,,,,,,Very useful,,Very useful,,,,Somewhat useful
"Blogs,Company internal community,Kaggle,YouTube Videos",,Somewhat useful,,Somewhat useful,,,Somewhat useful,,,,,,,,,,,Very useful
"College/University,Online courses,Stack Overflow Q&A,YouTube Videos,Other",,,Very useful,,,,,,,,Somewhat useful,,,Very useful,,,,Somewhat useful
"Blogs,Company internal community,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Very useful,,Very useful,,,Very useful,,,,Very useful,Somewhat useful,,Very useful,,,,Somewhat useful
"Blogs,Online courses,Stack Overflow Q&A,Textbook,Trade book,YouTube Videos",,Somewhat useful,,,,,,,,,Very useful,,,Very useful,Very useful,Very useful,,Somewhat useful
"College/University,Personal Projects,Stack Overflow Q&A,Textbook",,,Somewhat useful,,,,,,,,,Very useful,,Somewhat useful,Very useful,,,
"Blogs,Kaggle,Tutoring/mentoring",,Very useful,,,,,Very useful,,,,,,,,,,Very useful,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Conferences,Friends network,Kaggle,Podcasts",Very useful,Very useful,,,Very useful,Very useful,Very useful,,,,,,Very useful,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Newsletters,Non-Kaggle online communities,Online courses,Personal Projects",,Somewhat useful,,,,,Somewhat useful,Very useful,Very useful,,Very useful,Very useful,,,,,,
Online courses,,,,,,,,,,,Somewhat useful,,,,,,,
,,,,,,,,,,,,,,,,,,
"Textbook,YouTube Videos",,,,,,,,,,,,,,,Very useful,,,Very useful
,,,,,,,,,,,,,,,,,,
"College/University,Textbook,Other",,,Very useful,,,,,,,,,,,,Somewhat useful,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Kaggle,Official documentation,Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,Very useful,Very useful,,,Very useful,,,,Somewhat useful
"Blogs,Kaggle,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,,,,Very useful,Not Useful,Very useful,,,,Somewhat useful
"Blogs,Company internal community,Conferences,Official documentation,Online courses,Podcasts,Stack Overflow Q&A",,Very useful,,Somewhat useful,Very useful,,,,,Very useful,Very useful,,Very useful,Very useful,,,,
"Kaggle,Podcasts",,,,,,,Somewhat useful,,,,,,Very useful,,,,,
,,,,,,,,,,,,,,,,,,
"Stack Overflow Q&A,YouTube Videos",,,,,,,,,,,,,,Somewhat useful,,,,Somewhat useful
"Non-Kaggle online communities,Official documentation,Personal Projects,Stack Overflow Q&A",,,,,,,,,Somewhat useful,Very useful,,Very useful,,Somewhat useful,,,,
"Non-Kaggle online communities,Official documentation,Online courses",,,,,,,,,Somewhat useful,Very useful,Somewhat useful,,,,,,,
"Blogs,College/University,Conferences,Friends network,Online courses,Stack Overflow Q&A,Tutoring/mentoring",,Very useful,Very useful,,Somewhat useful,Somewhat useful,,,,,Very useful,,,Somewhat useful,,,Very useful,
Kaggle,,,,,,,Very useful,,,,,,,,,,,
"Arxiv,Blogs,Conferences,Kaggle,Official documentation,Stack Overflow Q&A,Textbook",Very useful,Somewhat useful,,,Not Useful,,Somewhat useful,,,Somewhat useful,,,,Very useful,Somewhat useful,,,
"Arxiv,Friends network,Kaggle,Non-Kaggle online communities,Online courses,Podcasts,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",Very useful,,,,,Very useful,Very useful,,Very useful,,Very useful,,Very useful,Very useful,Very useful,,Very useful,Very useful
"College/University,Company internal community,Kaggle",,,Somewhat useful,Very useful,,,Somewhat useful,,,,,,,,,,,
"Blogs,Non-Kaggle online communities,Online courses,Personal Projects,Textbook,Tutoring/mentoring",,Very useful,,,,,,,Very useful,,Very useful,Somewhat useful,,,Very useful,,Somewhat useful,
"Arxiv,Blogs,College/University,Company internal community,Friends network,Kaggle,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,Trade book,YouTube Videos",Very useful,Not Useful,Very useful,Somewhat useful,,Very useful,Somewhat useful,,,,,Somewhat useful,Not Useful,Somewhat useful,Very useful,Somewhat useful,,Not Useful
,,,,,,,,,,,,,,,,,,
"Friends network,Newsletters,Online courses,Textbook",,,,,,Very useful,,Somewhat useful,,,Very useful,,,,Very useful,,,
"Stack Overflow Q&A,YouTube Videos",,,,,,,,,,,,,,Very useful,,,,Very useful
"Blogs,College/University,Kaggle,Official documentation,Textbook",,Somewhat useful,Very useful,,,,Somewhat useful,,,Very useful,,,,,Very useful,,,
"College/University,Conferences,Kaggle,Podcasts,Stack Overflow Q&A,YouTube Videos",,,Somewhat useful,,Very useful,,Somewhat useful,,,,,,Somewhat useful,Very useful,,,,Very useful
"Non-Kaggle online communities,Online courses,Textbook",,,,,,,,,Somewhat useful,,Somewhat useful,,,,Somewhat useful,,,
Online courses,,,,,,,,,,,Very useful,,,,,,,
"Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,,,,,,Very useful,,Somewhat useful,Somewhat useful,,,Somewhat useful
"Blogs,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,Very useful,,,,,,,,,Very useful,Very useful,,Very useful,Very useful,,Very useful,Very useful
"Blogs,Online courses,YouTube Videos",,Very useful,,,,,,,,,Very useful,,,,,,,Very useful
"Arxiv,Blogs,Conferences,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Online courses,Stack Overflow Q&A,YouTube Videos",Somewhat useful,Very useful,,,Somewhat useful,,Very useful,Very useful,Very useful,Somewhat useful,Very useful,,,Very useful,,,,Very useful
"Arxiv,Blogs,College/University,Kaggle,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Somewhat useful,Very useful,,,,Very useful,,,,,,,Very useful,Very useful,,,Somewhat useful
"Blogs,Kaggle,Online courses,Textbook,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,Very useful,,,,Somewhat useful,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A",,Somewhat useful,,,,,Somewhat useful,Not Useful,Very useful,Somewhat useful,Somewhat useful,Very useful,,Very useful,,,,
"Blogs,Kaggle,Online courses,Stack Overflow Q&A",,Somewhat useful,,,,,Very useful,,,,Somewhat useful,,,Very useful,,,,
"College/University,Conferences,Friends network,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",,,Very useful,,Somewhat useful,Very useful,,,,,,Very useful,Somewhat useful,Very useful,Somewhat useful,,Very useful,Very useful
"Blogs,Newsletters,Official documentation,Personal Projects",,Very useful,,,,,,Somewhat useful,,Somewhat useful,,Very useful,,,,,,
"Arxiv,Blogs,Friends network,Newsletters,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,Trade book,YouTube Videos",Somewhat useful,Somewhat useful,,,,Somewhat useful,,Somewhat useful,,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,,Somewhat useful
"Kaggle,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,,,,,,Very useful,,,,,,,Somewhat useful,,,Somewhat useful,Somewhat useful
"College/University,Kaggle,Newsletters,Trade book,Tutoring/mentoring",,,Very useful,,,,Very useful,Somewhat useful,,,,,,,,Somewhat useful,Somewhat useful,
"Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Tutoring/mentoring",,Somewhat useful,,,,,Somewhat useful,,,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,,,Very useful,
"Conferences,Kaggle,Official documentation,Stack Overflow Q&A,Textbook",,,,,Somewhat useful,,Very useful,,,Very useful,,,,Somewhat useful,Very useful,,,
Personal Projects,,,,,,,,,,,,Somewhat useful,,,,,,
"College/University,Personal Projects",,,Somewhat useful,,,,,,,,,Somewhat useful,,,,,,
"College/University,Friends network,Online courses,Personal Projects,Tutoring/mentoring,YouTube Videos",,,Somewhat useful,,,Very useful,,,,,Somewhat useful,Somewhat useful,,,,,Very useful,Very useful
"Blogs,Kaggle,Online courses,Stack Overflow Q&A",,Very useful,,,,,Very useful,,,,Very useful,,,Somewhat useful,,,,
"Blogs,Kaggle,Newsletters,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,Somewhat useful,,,,,,,,,,Very useful
"Blogs,College/University,Company internal community,Friends network,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Trade book",,Very useful,Very useful,Very useful,,Very useful,,,,,Very useful,Somewhat useful,,Very useful,Very useful,Very useful,,
"Blogs,Kaggle,Official documentation,Personal Projects,Textbook",,Somewhat useful,,,,,Somewhat useful,,,Somewhat useful,,Very useful,,,Very useful,,,
"College/University,Friends network,Kaggle,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,Very useful,Very useful,,,,,Very useful,,Very useful,,,,Very useful
"College/University,Kaggle,Personal Projects,Textbook,Tutoring/mentoring",,,Very useful,,,,Very useful,,,,,Very useful,,,Somewhat useful,,Somewhat useful,
"Blogs,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,Very useful,Very useful,Very useful,Somewhat useful,,,,,,Very useful
"Blogs,College/University,Kaggle,Personal Projects,Stack Overflow Q&A,YouTube Videos,Other",,Very useful,Very useful,,,,Very useful,,,,,Very useful,,Very useful,,,,Very useful
"Arxiv,Blogs,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",Very useful,Very useful,,,,,Very useful,,Very useful,Very useful,Very useful,Very useful,,Very useful,,,,Very useful
,,,,,,,,,,,,,,,,,,
